inventor_id,name,country
fl:ak_ln:katayama-11,Akihide Katayama,
fl:ak_ln:katsumata-2,Akitoshi Katsumata,
fl:ak_ln:kishida-4,Akira Kishida,
fl:ak_ln:kondo-1,Akihiko Kondo,
fl:ak_ln:kumon-1,Akira Kumon,
fl:ak_ln:murakami-19,Akira Murakami,
fl:ak_ln:nagahara-3,Akiko Nagahara,
fl:ak_ln:nishio-3,Akihiko Nishio,
fl:ak_ln:nojiri-1,Akio Nojiri,
fl:ak_ln:ohsaki-3,Akihiko Ohsaki,
fl:ak_ln:okamoto-14,Akio Okamoto,
fl:ak_ln:sugizaki-2,Akihiko Sugizaki,
fl:ak_ln:suzuki-30,Akiyoshi Suzuki,
fl:ak_ln:tajima-3,Akimitsu Tajima,
fl:ak_ln:tanaka-21,Akira Tanaka,
fl:ak_ln:tanaka-8,Akihito Tanaka,
fl:ak_ln:tanizawa-5,Akiyuki Tanizawa,
fl:ak_ln:tomitaka-1,Akihiro Tomitaka,
fl:ak_ln:tozaki-1,Akihiro Tozaki,
fl:ak_ln:tsuzumitani-1,Akihiko Tsuzumitani,
fl:ak_ln:uchiyama-3,Akira Uchiyama,
fl:ak_ln:umezu-1,Akane Umezu,
fl:ak_ln:utsunomiya-1,Akinori Utsunomiya,
fl:ak_ln:yamashita-18,Akiyoshi Yamashita,
fl:ak_ln:yokawa-1,Akira Yokawa,
fl:al_ln:aghamohammadi-2,Aliakbar Aghamohammadi,
fl:al_ln:ainslie-1,Alex Neely Ainslie,
fl:al_ln:ajanovic-1,Alosman Ajanovic,
fl:al_ln:au-6,Alan C. Au,
fl:al_ln:auger-2,Alexandre Auger,
fl:al_ln:bazarsky-2,Alexander Bazarsky,
fl:al_ln:bourdais-1,Aline Bourdais,
fl:al_ln:bradshaw-1,Alex Bradshaw,
fl:al_ln:brooker-1,Alan Thomas Brooker,
fl:al_ln:bulla-1,Alexandre Bulla,
fl:al_ln:burlingame-2,Alma L. Burlingame,
fl:al_ln:cahill-3,Alan R. Cahill,
fl:al_ln:castro-9,Alex Castro,
fl:al_ln:cecil-2,Alexander Richard Liam Cecil,
fl:al_ln:damnjanovic-1,Aleksandar Damnjanovic,
fl:al_ln:dussmann-1,Alfons Dussmann,
fl:al_ln:eizenhoefer-1,Alfons Eizenhoefer,
fl:al_ln:finn-1,Alan Matthew Finn,US
fl:al_ln:frank-15,Aleksej Frank,
fl:al_ln:goldner-1,Alla Goldner,
fl:al_ln:grant-1,Alastair John Grant,
fl:al_ln:hagemeyer-1,Alfred Hagemeyer,
fl:al_ln:hanson-12,Allen W. Hanson,
fl:al_ln:hegedus-2,Alexander M. Hegedus,
fl:al_ln:henderson-19,Alex E. Henderson,
fl:al_ln:heuck-1,Alejandro Pablo Heuck,US
fl:al_ln:hoehn-1,Alexander Hoehn,
fl:al_ln:hooper-4,Alan Hooper,
fl:al_ln:immink-3,Albert Hendrik Jan Immink,
fl:al_ln:irimie-1,Alin Irimie,
fl:al_ln:johnstone-2,"Albert E. Johnstone, III",
fl:al_ln:kauffmann-2,Alejandro Kauffmann,
